# net         layer  x1       y1       x2       y2       width

VDD          M1    39.000   16.000   65.000   16.000   0.050
GND          M1    55.000   9.000    6.000    9.000    0.050
GND          M1    6.000    9.000    6.000    16.000   0.050
N_TOP_A      M2    25.000   9.000    44.000   9.000    0.050
N_TOP_A      M1    55.000   3.000    44.000   3.000    0.050
N_TOP_A      M2    44.000   3.000    44.000   9.000    0.050
N_TOP_B      M1    6.000    23.000   10.000   23.000   0.050
N_TOP_B      M1    10.000   23.000   10.000   14.000   0.050
N_TOP_B      M1    10.000   14.000   8.000    14.000   0.050
N_TOP_B      M1    19.000   16.000   8.000    16.000   0.050
N_TOP_B      M1    8.000    16.000   8.000    11.000   0.050
N_TOP_B      M2    8.000    9.000    8.000    11.000   0.050
N_LOAD_A     M1    39.000   26.000   45.000   26.000   0.050
N_LOAD_A     M2    45.000   26.000   45.000   2.000    0.050
N_LOAD_A     M1    45.000   2.000    8.000    2.000    0.050
N_LOAD_A     M1    35.000   2.000    35.000   3.000    0.050
N_LOAD_A     M1    41.000   3.000    35.000   3.000    0.050
N_LOAD_A     M1    8.000    3.000    8.000    2.000    0.050
