# module       x           y           angle  orient

XC5            34.23      25.26      0      R0
XC6            49.33      25.26      0      R0
XR9            62.70      33.72      0      R0
XR10           61.72      33.72      180    MY
XR13           32.60      33.72      0      R0
XR14           31.62      33.72      180    MY
MP23           48.35      22.89      0      R0
MP24           47.09      22.89      180    MY
XR26           70.40      4.71       180    MY
XR27           25.04      4.71       0      R0
XR30           91.14      4.71       180    MY
XR32           4.30       4.71       0      R0
MM33           48.28      25.70      0      MX
MM34           47.16      25.70      180    R180
