# module      pin      x        y        layer

XC5          MINUS    5.380    0.055    M1
XC5          PLUS     5.380    6.315    M1
XC6          MINUS    5.380    0.055    M1
XC6          PLUS     5.380    6.315    M1
MP23         B        0.275    0.395    M1
MP23         D        0.325    0.345    M1
MP23         G        0.275    0.395    M1
MP23         S        0.225    0.345    M1
MP24         B        0.275    0.395    M1
MP24         D        0.325    0.345    M1
MP24         G        0.275    0.395    M1
MP24         S        0.225    0.345    M1
MM33         B        0.275    0.295    M1
MM33         D        0.325    0.245    M1
MM33         G        0.275    0.295    M1
MM33         S        0.225    0.245    M1
MM34         B        0.275    0.295    M1
MM34         D        0.325    0.245    M1
MM34         G        0.275    0.295    M1
MM34         S        0.225    0.245    M1
