# module       x           y           angle  orient

XC5            55.700      0.000       0      R0
XC6            72.460      0.000       0      MY
XR9            13.925      0.000       0      MY
XR10           41.775      0.000       0      MY
XR13           27.850      0.000       0      R0
XR14           0.000       0.000       0      R0
MP23           90.220      0.000       0      R0
MP24           101.770     0.000       0      MY
XR26           135.460     0.000       0      MY
XR27           109.320     0.000       0      R0
XR30           190.740     0.000       0      MY
XR32           162.600     0.000       0      R0
MM33           217.880     0.000       0      R0
MM34           226.430     0.000       0      MY
