# module      pin      x        y        layer

XC5          MINUS    5.380    0.055    M1
XC5          PLUS     5.380    6.315    M1
XC6          MINUS    5.380    0.055    M1
XC6          PLUS     5.380    6.315    M1
XR9          MINUS    3.462    0.055    M1
XR9          PLUS     3.462    6.655    M1
XR10         MINUS    3.462    0.055    M1
XR10         PLUS     3.462    6.655    M1
XR13         MINUS    3.462    0.055    M1
XR13         PLUS     3.462    6.655    M1
XR14         MINUS    3.462    0.055    M1
XR14         PLUS     3.462    6.655    M1
XR26         MINUS    10.070   0.055    M1
XR26         PLUS     10.070   9.805    M1
XR27         MINUS    10.070   0.055    M1
XR27         PLUS     10.070   9.805    M1
XR30         MINUS    10.070   0.055    M1
XR30         PLUS     10.070   9.805    M1
XR32         MINUS    10.070   0.055    M1
XR32         PLUS     10.070   9.805    M1
MP23         B        0.275    0.395    M1
MP23         D        0.325    0.345    M1
MP23         G        0.275    0.395    M1
MP23         S        0.225    0.345    M1
MP24         B        0.275    0.395    M1
MP24         D        0.325    0.345    M1
MP24         G        0.275    0.395    M1
MP24         S        0.225    0.345    M1
MM33         B        0.275    0.295    M1
MM33         D        0.325    0.245    M1
MM33         G        0.275    0.295    M1
MM33         S        0.225    0.245    M1
MM34         B        0.275    0.295    M1
MM34         D        0.325    0.245    M1
MM34         G        0.275    0.295    M1
MM34         S        0.225    0.245    M1
