# module       x           y           angle  orient

XC5            23.260      2.500       0      R0
XC6            2.500       2.500       0      MY
XR9            2.500       25.580      0      MY
XR10           2.500       13.870      0      MY
XR13           19.425      13.870      0      R0
XR14           19.425      25.580      0      R0
MP23           176.230     2.500       0      R0
MP24           165.680     2.500       0      MY
XR26           55.120      2.500       0      MY
XR27           85.260      2.500       0      R0
XR30           110.400     2.500       0      MY
XR32           140.540     2.500       0      R0
MM33           49.570      2.500       0      R0
MM34           39.020      2.500       0      MY
