# net         layer  x1       y1       x2       y2       width

GND          M1    39.000   3.000    50.000   3.000    0.050
VDD          M1    23.000   26.000   177.000  26.000   0.050
VDD          M1    27.000   26.000   27.000   14.000   0.050
VDD          M1    27.000   14.000   23.000   14.000   0.050
VDD          M1    55.000   26.000   55.000   3.000    0.050
VDD          M1    55.000   3.000    65.000   3.000    0.050
VDD          M1    110.000  3.000    120.000  3.000    0.050
VDD          M1    110.000  26.000   110.000  3.000    0.050
VDD          M1    166.000  26.000   166.000  3.000    0.050
VDD          M1    177.000  26.000   177.000  3.000    0.050
12           M1    151.000  3.000    151.000  2.000    1.000
12           M1    151.000  2.000    35.000   2.000    1.000
12           M1    35.000   2.000    35.000   10.000   1.000
12           M1    35.000   10.000   29.000   10.000   1.000
12           M1    29.000   10.000   29.000   9.000    1.000
16           M1    6.000    26.000   10.000   26.000   1.000
16           M1    10.000   26.000   10.000   10.000   1.000
16           M1    10.000   10.000   8.000    10.000   1.000
16           M1    8.000    10.000   8.000    9.000    1.000
8            M1    23.000   32.000   19.000   32.000   1.000
8            M1    19.000   32.000   19.000   1.000    1.000
8            M1    19.000   1.000    29.000   1.000    1.000
8            M1    29.000   1.000    29.000   3.000    1.000
LOI+         M1    95.000   12.000   85.000   12.000   0.050
LOI+         M1    85.000   12.000   85.000   3.000    0.050
LOI+         M1    85.000   3.000    95.000   3.000    0.050
