# module       x           y           angle  orient

XC5            2.500       2.500       0      R0
XC6            29.260      2.500       0      MY
XR9            98.795      2.500       0      MY
XR10           68.945      2.500       0      MY
XR13           46.020      2.500       0      R0
XR14           81.870      2.500       0      R0
MP23           111.720     2.500       0      R0
MP24           134.770     2.500       0      MY
XR26           32.640      14.870      0      MY
XR27           2.500       14.870      0      R0
XR30           88.920      14.870      0      MY
XR32           58.780      14.870      0      R0
MM33           115.060     14.870      90     R90
MM34           131.650     14.870      90     MY
