# net         layer  x1       y1       x2       y2       width

GND          M1    132.000  15.000   115.000  15.000   0.050
VDD          M1    85.000   3.000    49.000   3.000    0.050
VDD          M1    85.000   3.000    46.000   3.000    0.050
VDD          M2    46.000   3.000    46.000   15.000   0.050
VDD          M1    46.000   15.000   43.000   15.000   0.050
VDD          M1    85.000   3.000    91.000   3.000    0.050
VDD          M2    91.000   3.000    91.000   15.000   0.050
VDD          M1    91.000   15.000   99.000   15.000   0.050
VDD          M1    85.000   3.000    112.000  3.000    0.050
VDD          M1    112.000  3.000    113.000  3.000    0.050
VDD          M1    113.000  3.000    135.000  3.000    0.050
VDD          M1    85.000   3.000    112.000  3.000    0.050
12           M3    69.000   15.000   69.000   10.000   1.000
12           M3    69.000   10.000   8.000    10.000   1.000
12           M3    8.000    10.000   8.000    9.000    1.000
12           M3    69.000   15.000   69.000   9.000    1.000
12           M3    69.000   9.000    135.000  9.000    1.000
12           M3    135.000  9.000    135.000  3.000    1.000
12           M3    69.000   15.000   69.000   14.000   1.000
12           M3    69.000   14.000   132.000  14.000   1.000
12           M3    132.000  14.000   132.000  15.000   1.000
16           M2    102.000  3.000    102.000  2.000    1.000
16           M2    102.000  2.000    41.000   2.000    1.000
16           M2    41.000   2.000    41.000   10.000   1.000
16           M2    41.000   10.000   35.000   10.000   1.000
16           M2    35.000   10.000   35.000   9.000    1.000
16           M2    102.000  3.000    102.000  2.000    1.000
16           M2    102.000  2.000    112.000  2.000    1.000
16           M2    112.000  2.000    112.000  3.000    1.000
16           M2    102.000  3.000    102.000  2.000    1.000
16           M2    102.000  2.000    115.000  2.000    1.000
16           M2    115.000  2.000    115.000  15.000   1.000
LOI+         M1    13.000   25.000   23.000   25.000   0.050
LOI+         M2    23.000   25.000   23.000   15.000   0.050
LOI+         M1    23.000   15.000   13.000   15.000   0.050
LOI+         M2    13.000   25.000   135.000  25.000   0.050
LOI+         M2    135.000  25.000   135.000  3.000    0.050
LOI+         M2    13.000   25.000   132.000  25.000   0.050
LOI+         M2    132.000  25.000   132.000  15.000   0.050
LOI-         M3    69.000   25.000   110.000  25.000   0.050
LOI-         M3    110.000  25.000   110.000  15.000   0.050
LOI-         M3    110.000  15.000   115.000  15.000   0.050
