# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       90     MY
XR10           72.440      2.500       0      MY
XR13           89.365      2.500       0      R0
XR14           58.730      2.500       90     R90
MP23           115.580     2.500       90     R90
MP24           104.790     2.500       90     MY
XR26           4.000       16.870      0      MY
XR27           34.140      16.870      0      R0
XR30           61.780      16.870      0      MY
XR32           91.920      16.870      0      R0
MM33           131.610     16.870      180    R180
MM34           121.060     16.870      180    MY
