# net         layer  x1       y1       x2       y2       width

12           M1    105.000  3.000    105.000  10.000   1.000
12           M1    30.000   10.000   133.000  10.000   1.000
12           M1    120.000  17.000   120.000  10.000   1.000
12           M1    30.000   9.000    30.000   10.000   1.000
12           M1    102.000  17.000   102.000  6.000    1.000
12           M1    102.000  6.000    105.000  6.000    1.000
12           M1    121.000  17.000   120.000  17.000   1.000
8            M1    59.000   6.000    59.000   1.000    1.000
8            M1    59.000   1.000    30.000   1.000    1.000
8            M1    30.000   1.000    30.000   3.000    1.000
