# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       0      MY
XR10           72.870      2.500       0      MY
XR13           89.795      2.500       0      R0
XR14           58.945      2.500       0      R0
MP23           122.010     2.500       90     R90
MP24           111.220     2.500       90     MY
XR26           10.000      20.870      0      MY
XR27           40.140      20.870      0      R0
XR30           73.780      20.870      90     MY
XR32           93.640      20.870      90     R90
MM33           127.050     20.870      0      R0
MM34           116.500     20.870      0      MY
