# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       0      MY
XR10           72.870      2.500       0      MY
XR13           89.795      2.500       0      R0
XR14           58.945      2.500       0      R0
MP23           115.320     2.500       0      R0
MP24           104.770     2.500       0      MY
XR26           4.550       16.870      0      MY
XR27           34.690      16.870      0      R0
XR30           62.880      16.870      0      MY
XR32           93.020      16.870      0      R0
MM33           132.750     16.870      90     R90
MM34           122.160     16.870      90     MXR90
