# net         layer  x1       y1       x2       y2       width

LOI-         M1    133.000  17.000   123.000  17.000   0.050
LOI-         M1    123.000  3.000    123.000  27.000   0.050
LOI-         M1    103.000  27.000   123.000  27.000   0.050
LOI-         M2    76.000   3.000    76.000   10.000   0.050
LOI-         M1    76.000   10.000   119.000  10.000   0.050
LOI-         M1    119.000  10.000   119.000  3.000    0.050
LOI-         M1    123.000  3.000    116.000  3.000    0.050
GND          M2    122.000  17.000   133.000  17.000   0.050
LOI+         M1    50.000   17.000   45.000   17.000   0.050
LOI+         M1    122.000  17.000   103.000  17.000   0.050
LOI+         M2    103.000  17.000   103.000  28.000   0.050
LOI+         M1    45.000   27.000   90.000   27.000   0.050
LOI+         M1    90.000   28.000   90.000   22.000   0.050
LOI+         M2    50.000   17.000   50.000   27.000   0.050
LOI+         M1    103.000  28.000   90.000   28.000   0.050
LOI+         M1    105.000  3.000    92.000   3.000    0.050
LOI+         M2    92.000   3.000    92.000   22.000   0.050
LOI+         M1    92.000   22.000   90.000   22.000   0.050
VDD          M2    93.000   3.000    110.000  3.000    0.050
VDD          M2    113.000  3.000    116.000  3.000    0.050
VDD          M1    62.000   3.000    66.000   3.000    0.050
VDD          M1    108.000  3.000    113.000  3.000    0.050
VDD          M1    110.000  3.000    110.000  2.000    0.050
VDD          M1    110.000  2.000    82.000   2.000    0.050
VDD          M1    82.000   2.000    82.000   9.000    0.050
VDD          M1    66.000   3.000    66.000   17.000   0.050
VDD          M1    14.000   9.000    82.000   9.000    0.050
VDD          M1    15.000   17.000   15.000   11.000   0.050
VDD          M1    15.000   11.000   14.000   11.000   0.050
VDD          M1    73.000   17.000   66.000   17.000   0.050
VDD          M1    14.000   11.000   14.000   9.000    0.050
9            M1    93.000   9.000    83.000   9.000    1.000
9            M2    83.000   9.000    83.000   2.000    1.000
9            M2    83.000   2.000    9.000    2.000    1.000
9            M1    9.000    2.000    9.000    3.000    1.000
8            M2    62.000   9.000    30.000   9.000    1.000
8            M2    30.000   9.000    30.000   3.000    1.000
