# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       0      MY
XR10           72.870      2.500       0      MY
XR13           89.795      2.500       0      R0
XR14           58.945      2.500       0      R0
MP23           116.010     2.500       90     R90
MP24           105.220     2.500       90     MXR90
XR26           4.550       16.870      0      MY
XR27           34.690      16.870      0      R0
XR30           62.880      16.870      0      MY
XR32           93.020      16.870      0      R0
MM33           132.710     16.870      0      R0
MM34           122.160     16.870      0      MY
