# net         layer  x1       y1       x2       y2       width

12           M1    106.000  3.000    106.000  9.000    1.000
12           M1    73.000   9.000    106.000  9.000    1.000
12           M1    30.000   9.000    30.000   10.000   1.000
12           M1    30.000   10.000   73.000   10.000   1.000
12           M1    73.000   10.000   73.000   9.000    1.000
12           M1    122.000  17.000   122.000  6.000    1.000
12           M1    122.000  6.000    103.000  6.000    1.000
12           M1    103.000  17.000   103.000  6.000    1.000
LOI-         M1    133.000  17.000   123.000  17.000   0.050
LOI-         M1    123.000  3.000    123.000  27.000   0.050
LOI-         M1    103.000  27.000   123.000  27.000   0.050
LOI-         M2    76.000   3.000    76.000   10.000   0.050
LOI-         M1    76.000   10.000   101.000  10.000   0.050
LOI-         M2    101.000  10.000   124.000  10.000   0.050
LOI-         M1    124.000  10.000   124.000  3.000    0.050
LOI-         M1    116.000  3.000    124.000  3.000    0.050
LOI+         M2    122.000  17.000   122.000  18.000   0.050
LOI+         M1    55.000   27.000   55.000   25.000   0.050
LOI+         M1    122.000  18.000   122.000  26.000   0.050
LOI+         M1    122.000  26.000   55.000   26.000   0.050
LOI+         M1    45.000   27.000   81.000   27.000   0.050
LOI+         M2    81.000   27.000   81.000   3.000    0.050
LOI+         M1    60.000   3.000    103.000  3.000    0.050
LOI+         M1    45.000   17.000   83.000   17.000   0.050
LOI+         M2    83.000   17.000   83.000   3.000    0.050
LOI+         M2    60.000   3.000    60.000   25.000   0.050
LOI+         M1    60.000   25.000   55.000   25.000   0.050
LOI+         M2    106.000  3.000    77.000   3.000    0.050
LOI+         M2    77.000   3.000    77.000   27.000   0.050
16           M2    133.000  6.000    110.000  6.000    1.000
16           M2    110.000  6.000    110.000  3.000    1.000
16           M1    110.000  3.000    109.000  3.000    1.000
16           M2    116.000  3.000    116.000  6.000    1.000
16           M2    45.000   2.000    45.000   9.000    1.000
16           M1    45.000   2.000    109.000  2.000    1.000
16           M1    109.000  2.000    109.000  3.000    1.000
16           M2    9.000    9.000    9.000    2.000    1.000
16           M2    9.000    2.000    109.000  2.000    1.000
16           M2    133.000  17.000   133.000  6.000    1.000
9            M2    93.000   9.000    93.000   12.000   1.000
9            M1    93.000   12.000   15.000   12.000   1.000
9            M1    15.000   12.000   15.000   1.000    1.000
9            M1    15.000   1.000    9.000    1.000    1.000
9            M1    9.000    1.000    9.000    3.000    1.000
8            M2    62.000   9.000    62.000   14.000   1.000
8            M1    62.000   14.000   30.000   14.000   1.000
8            M2    30.000   14.000   30.000   3.000    1.000
