# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       0      MY
XR10           65.780      16.870      0      MY
XR13           82.705      16.870      0      R0
XR14           58.945      2.500       0      R0
MP23           144.200     2.500       0      R0
MP24           133.650     2.500       0      MY
XR26           6.000       16.870      0      MY
XR27           36.140      16.870      0      R0
XR30           72.870      2.500       0      MY
XR32           103.010     2.500       0      R0
MM33           109.180     16.870      0      R0
MM34           98.630      16.870      0      MY
