# net         layer  x1       y1       x2       y2       width

GND          M1    125.000  17.000   136.000  17.000   0.050
VDD          M1    122.000  3.000    106.000  3.000    0.050
VDD          M1    106.000  6.000    106.000  2.000    0.050
VDD          M1    116.000  2.000    83.000   2.000    0.050
VDD          M1    83.000   2.000    83.000   11.000   0.050
VDD          M1    116.000  17.000   116.000  2.000    0.050
VDD          M1    98.000   6.000    106.000  6.000    0.050
VDD          M1    65.000   6.000    65.000   17.000   0.050
VDD          M1    65.000   11.000   83.000   11.000   0.050
VDD          M1    116.000  17.000   16.000   17.000   0.050
12           M2    110.000  17.000   106.000  17.000   1.000
12           M2    125.000  17.000   124.000  17.000   1.000
12           M1    111.000  7.000    111.000  5.000    1.000
12           M2    111.000  3.000    111.000  5.000    1.000
12           M2    125.000  19.000   113.000  19.000   1.000
12           M2    113.000  19.000   113.000  5.000    1.000
12           M1    113.000  5.000    111.000  5.000    1.000
12           M1    124.000  17.000   124.000  7.000    1.000
12           M2    124.000  7.000    111.000  7.000    1.000
12           M2    110.000  17.000   110.000  6.000    1.000
12           M1    110.000  6.000    111.000  6.000    1.000
12           M1    30.000   9.000    30.000   16.000   1.000
12           M2    30.000   16.000   125.000  16.000   1.000
12           M2    125.000  16.000   125.000  19.000   1.000
16           M2    122.000  3.000    122.000  4.000    1.000
16           M1    122.000  4.000    122.000  6.000    1.000
16           M1    136.000  6.000    121.000  6.000    1.000
16           M1    42.000   6.000    42.000   11.000   1.000
16           M1    32.000   11.000   45.000   11.000   1.000
16           M2    32.000   11.000   9.000    11.000   1.000
16           M1    9.000    11.000   9.000    9.000    1.000
16           M1    121.000  6.000    121.000  9.000    1.000
16           M2    98.000   9.000    9.000    9.000    1.000
16           M2    121.000  9.000    115.000  9.000    1.000
16           M1    115.000  9.000    98.000   9.000    1.000
16           M2    136.000  17.000   136.000  6.000    1.000
9            M1    91.000   6.000    91.000   3.000    1.000
9            M2    91.000   3.000    9.000    3.000    1.000
8            M1    59.000   6.000    59.000   1.000    1.000
8            M1    59.000   1.000    30.000   1.000    1.000
8            M1    30.000   1.000    30.000   3.000    1.000
