# module       x           y           angle  orient

XC5            19.870      2.500       90     R90
XC6            3.500       2.500       90     MXR90
XR9            64.420      21.260      0      MY
XR10           90.520      2.500       0      MY
XR13           107.445     2.500       0      R0
XR14           81.345      21.260      0      R0
MP23           133.660     2.500       90     R90
MP24           122.870     2.500       90     MXR90
XR26           4.550       21.260      90     MXR90
XR27           24.410      21.260      90     R90
XR30           33.240      2.500       0      MY
XR32           63.380      2.500       0      R0
MM33           54.870      21.260      0      R0
MM34           44.320      21.260      0      MY
