# net         layer  x1       y1       x2       y2       width

VDD          M2    85.000   21.000   85.000   28.000   0.050
VDD          M1    63.000   3.000    43.000   3.000    0.050
VDD          M1    134.000  3.000    90.000   3.000    0.050
VDD          M1    5.000    31.000   5.000    15.000   0.050
VDD          M1    63.000   28.000   90.000   28.000   0.050
VDD          M1    90.000   28.000   90.000   3.000    0.050
VDD          M1    5.000    15.000   90.000   15.000   0.050
VDD          M1    63.000   3.000    63.000   28.000   0.050
GND          M1    45.000   22.000   55.000   22.000   0.050
16           M2    68.000   21.000   68.000   28.000   1.000
16           M2    68.000   28.000   45.000   28.000   1.000
16           M1    45.000   28.000   45.000   23.000   1.000
16           M2    134.000  3.000    134.000  5.000    1.000
16           M1    10.000   8.000    11.000   8.000    1.000
16           M1    11.000   8.000    11.000   14.000   1.000
16           M1    41.000   14.000   4.000    14.000   1.000
16           M2    55.000   22.000   55.000   10.000   1.000
16           M2    55.000   10.000   134.000  10.000   1.000
16           M1    134.000  10.000   134.000  5.000    1.000
16           M2    41.000   14.000   41.000   23.000   1.000
16           M1    41.000   23.000   60.000   23.000   1.000
16           M2    134.000  5.000    60.000   5.000    1.000
16           M2    60.000   5.000    60.000   23.000   1.000
LOI+         M1    34.000   42.000   34.000   31.000   0.050
LOI+         M1    34.000   39.000   43.000   39.000   0.050
LOI+         M1    24.000   31.000   24.000   42.000   0.050
LOI+         M1    24.000   42.000   34.000   42.000   0.050
LOI+         M2    45.000   22.000   43.000   22.000   0.050
LOI+         M2    43.000   22.000   43.000   39.000   0.050
LOI+         M2    123.000  3.000    38.000   3.000    0.050
LOI+         M2    38.000   3.000    38.000   39.000   0.050
9            M1    111.000  9.000    111.000  12.000   1.000
9            M2    27.000   12.000   4.000    12.000   1.000
9            M2    111.000  12.000   62.000   12.000   1.000
9            M1    62.000   12.000   27.000   12.000   1.000
9            M2    4.000    12.000   4.000    8.000    1.000
