# net         layer  x1       y1       x2       y2       width

VDD          M1    14.000   17.000   14.000   11.000   0.050
VDD          M1    62.000   3.000    66.000   3.000    0.050
VDD          M1    82.000   3.000    105.000  3.000    0.050
VDD          M1    113.000  3.000    116.000  3.000    0.050
VDD          M1    66.000   3.000    66.000   17.000   0.050
VDD          M1    72.000   17.000   66.000   17.000   0.050
VDD          M1    66.000   12.000   82.000   12.000   0.050
VDD          M1    82.000   12.000   82.000   3.000    0.050
VDD          M1    14.000   11.000   82.000   11.000   0.050
VDD          M2    113.000  3.000    104.000  3.000    0.050
GND          M2    119.000  17.000   122.000  17.000   0.050
GND          M1    122.000  17.000   130.000  17.000   0.050
16           M1    9.000    9.000    9.000    10.000   1.000
16           M1    9.000    10.000   15.000   10.000   1.000
16           M1    108.000  10.000   130.000  10.000   1.000
16           M1    15.000   10.000   15.000   1.000    1.000
16           M1    45.000   3.000    45.000   2.000    1.000
16           M1    45.000   2.000    108.000  2.000    1.000
16           M1    108.000  1.000    108.000  10.000   1.000
16           M1    15.000   1.000    108.000  1.000    1.000
16           M2    116.000  3.000    123.000  3.000    1.000
16           M1    123.000  3.000    123.000  10.000   1.000
16           M2    130.000  17.000   130.000  10.000   1.000
8            M1    62.000   9.000    36.000   9.000    1.000
8            M2    36.000   9.000    36.000   3.000    1.000
8            M2    36.000   3.000    30.000   3.000    1.000
9            M1    93.000   9.000    93.000   10.000   1.000
9            M2    93.000   10.000   9.000    10.000   1.000
9            M2    9.000    10.000   9.000    3.000    1.000
