# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       0      MY
XR10           72.870      2.500       0      MY
XR13           89.795      2.500       0      R0
XR14           58.945      2.500       0      R0
MP23           117.770     2.500       0      R0
MP24           107.220     2.500       0      MY
XR26           6.000       16.870      0      MY
XR27           36.140      16.870      0      R0
XR30           65.780      16.870      0      MY
XR32           95.920      16.870      0      R0
MM33           135.610     16.870      0      R0
MM34           125.060     16.870      0      MY
