# net         layer  x1       y1       x2       y2       width

GND          M2    125.000  17.000   136.000  17.000   0.050
VDD          M1    62.000   3.000    93.000   3.000    0.050
VDD          M1    62.000   3.000    36.000   3.000    0.050
VDD          M1    36.000   3.000    36.000   17.000   0.050
VDD          M1    36.000   17.000   16.000   17.000   0.050
VDD          M1    62.000   3.000    73.000   3.000    0.050
VDD          M1    73.000   3.000    73.000   17.000   0.050
VDD          M1    73.000   17.000   76.000   17.000   0.050
VDD          M1    62.000   3.000    107.000  3.000    0.050
VDD          M2    62.000   3.000    118.000  3.000    0.050
12           M1    106.000  17.000   106.000  14.000   1.000
12           M2    106.000  14.000   30.000   14.000   1.000
12           M1    30.000   14.000   30.000   9.000    1.000
12           M1    106.000  17.000   106.000  10.000   1.000
12           M2    106.000  10.000   107.000  10.000   1.000
12           M3    107.000  10.000   107.000  3.000    1.000
12           M1    106.000  17.000   125.000  17.000   1.000
16           M2    45.000   3.000    45.000   4.000    1.000
16           M2    45.000   4.000    45.000   9.000    1.000
16           M2    45.000   9.000    9.000    9.000    1.000
16           M2    45.000   3.000    45.000   2.000    1.000
16           M1    45.000   2.000    118.000  2.000    1.000
16           M1    118.000  2.000    118.000  3.000    1.000
16           M2    45.000   3.000    45.000   4.000    1.000
16           M2    45.000   4.000    49.000   4.000    1.000
16           M2    49.000   4.000    60.000   4.000    1.000
16           M2    60.000   4.000    66.000   4.000    1.000
16           M2    66.000   4.000    74.000   4.000    1.000
16           M2    74.000   4.000    80.000   4.000    1.000
16           M2    80.000   4.000    90.000   4.000    1.000
16           M2    90.000   4.000    97.000   4.000    1.000
16           M2    97.000   4.000    136.000  4.000    1.000
16           M1    136.000  4.000    136.000  17.000   1.000
8            M1    62.000   9.000    37.000   9.000    1.000
8            M1    37.000   9.000    37.000   5.000    1.000
8            M2    37.000   5.000    37.000   3.000    1.000
8            M2    37.000   3.000    35.000   3.000    1.000
8            M2    35.000   3.000    30.000   3.000    1.000
9            M1    93.000   9.000    74.000   9.000    1.000
9            M2    74.000   9.000    74.000   8.000    1.000
9            M2    74.000   8.000    74.000   6.000    1.000
9            M3    74.000   6.000    73.000   6.000    1.000
9            M3    73.000   6.000    65.000   6.000    1.000
9            M3    65.000   6.000    59.000   6.000    1.000
9            M3    59.000   6.000    48.000   6.000    1.000
9            M3    48.000   6.000    42.000   6.000    1.000
9            M3    42.000   6.000    35.000   6.000    1.000
9            M3    35.000   6.000    24.000   6.000    1.000
9            M3    24.000   6.000    14.000   6.000    1.000
9            M3    14.000   6.000    9.000    6.000    1.000
9            M2    9.000    6.000    9.000    3.000    1.000
LOI+         M1    46.000   27.000   46.000   26.000   0.050
LOI+         M2    46.000   26.000   46.000   25.000   0.050
LOI+         M2    46.000   25.000   46.000   17.000   0.050
LOI+         M1    46.000   27.000   96.000   27.000   0.050
LOI+         M1    96.000   27.000   96.000   9.000    0.050
LOI+         M1    96.000   9.000    108.000  9.000    0.050
LOI+         M1    108.000  9.000    108.000  3.000    0.050
LOI+         M1    46.000   27.000   61.000   27.000   0.050
LOI+         M2    61.000   27.000   61.000   17.000   0.050
LOI+         M3    61.000   17.000   125.000  17.000   0.050
LOI-         M1    106.000  27.000   100.000  27.000   0.050
LOI-         M2    100.000  27.000   100.000  25.000   0.050
LOI-         M2    100.000  25.000   100.000  17.000   0.050
LOI-         M2    100.000  17.000   100.000  15.000   0.050
LOI-         M3    100.000  15.000   76.000   15.000   0.050
LOI-         M3    76.000   15.000   76.000   8.000    0.050
LOI-         M3    76.000   8.000    76.000   3.000    0.050
LOI-         M1    106.000  27.000   118.000  27.000   0.050
LOI-         M2    118.000  27.000   118.000  6.000    0.050
LOI-         M3    118.000  6.000    118.000  3.000    0.050
LOI-         M1    106.000  27.000   130.000  27.000   0.050
LOI-         M2    130.000  27.000   136.000  27.000   0.050
LOI-         M3    136.000  27.000   136.000  17.000   0.050
