# module       x           y           angle  orient

XC5            34.760      3.000       0      R0
XC6            4.000       3.000       0      MY
XR9            58.020      2.810       90     MXR90
XR10           103.750     2.500       0      MY
XR13           130.675     2.500       0      R0
XR14           84.730      2.810       90     R90
MP23           38.145      23.185      90     R90
MP24           17.355      23.185      90     MXR90
XR26           150.220     2.500       0      MY
XR27           190.360     2.500       0      R0
XR30           3.810       37.550      0      MY
XR32           43.950      37.550      0      R0
MM33           109.765     37.905      0      R0
MM34           89.215      37.905      0      MY
