# 4ring_2_complex_symmetry
# id          w       h       active(x1,y1,x2,y2)         # info

XC5          10.760  6.370   0.000,0.000,10.760,6.370  # capacitor cfmom_2t_CDNS_756565341311 ox=0.000 oy=0.000
XC6          10.760  6.370   0.000,0.000,10.760,6.370  # capacitor cfmom_2t_CDNS_756565341311 ox=0.000 oy=0.000
XR9          6.925   6.710   0.190,0.965,6.735,5.745  # resistor rupolym_CDNS_7565653413130 ox=-0.190 oy=-0.530
XR10         6.925   6.710   0.190,0.965,6.735,5.745  # resistor rupolym_CDNS_7565653413130 ox=-0.190 oy=-0.530
XR13         6.925   6.710   0.190,0.965,6.735,5.745  # resistor rupolym_CDNS_7565653413130 ox=-0.190 oy=-0.530
XR14         6.925   6.710   0.190,0.965,6.735,5.745  # resistor rupolym_CDNS_7565653413130 ox=-0.190 oy=-0.530
MP23         0.550   0.790   0.185,0.145,0.365,0.545  # pmos pch_ulvt_mac_CDNS_7565653413132 ox=-0.260 oy=-0.145
MP24         0.550   0.790   0.185,0.145,0.365,0.545  # pmos pch_ulvt_mac_CDNS_7565653413132 ox=-0.260 oy=-0.145
XR26         20.140  9.860   0.190,0.965,19.950,8.895  # resistor rupolym_CDNS_7565653413133 ox=-0.190 oy=-0.530
XR27         20.140  9.860   0.190,0.965,19.950,8.895  # resistor rupolym_CDNS_7565653413133 ox=-0.190 oy=-0.530
XR30         20.140  9.860   0.190,0.965,19.950,8.895  # resistor rupolym_CDNS_7565653413133 ox=-0.190 oy=-0.530
XR32         20.140  9.860   0.190,0.965,19.950,8.895  # resistor rupolym_CDNS_7565653413133 ox=-0.190 oy=-0.530
MM33         0.550   0.590   0.185,0.145,0.365,0.345  # nmos nch_ulvt_mac_CDNS_7565653413134 ox=-0.260 oy=-0.145
MM34         0.550   0.590   0.185,0.145,0.365,0.345  # nmos nch_ulvt_mac_CDNS_7565653413134 ox=-0.260 oy=-0.145
