# module       x           y           angle  orient

XC5            33.810      2.500       0      R0
XC6            13.050      2.500       0      MY
XR9            86.550      2.500       0      MY
XR10           103.475     2.500       0      MY
XR13           120.400     2.500       0      R0
XR14           137.325     2.500       0      R0
MP23           54.570      2.500       0      R0
MP24           2.500       2.500       0      MY
XR26           90.260      19.210      0      MY
XR27           120.400     19.210      0      R0
XR30           60.120      19.210      0      MY
XR32           150.540     19.210      0      R0
MM33           33.810      18.870      0      R0
MM34           23.260      18.870      0      MY
