# module       x           y           angle  orient

XC5            30.420      2.500       90     R90
XC6            14.050      2.500       90     MY
XR9            54.340      2.500       90     MY
XR10           101.190     2.500       0      MY
XR13           118.115     2.500       0      R0
XR14           165.180     2.500       90     R90
MP23           30.420      23.260      0      R0
MP24           19.870      23.260      0      MY
XR26           71.050      2.500       0      MY
XR27           135.040     2.500       0      R0
XR30           98.255      19.210      90     MY
XR32           118.115     19.210      90     R90
MM33           46.790      2.500       0      R0
MM34           3.500       2.500       0      MY
