# net         layer  x1       y1       x2       y2       width

12           M1    128.000  40.000   31.000   40.000   1.000
12           M1    31.000   40.000   31.000   26.000   1.000
12           M1    4.000    13.000   29.000   13.000   1.000
12           M1    29.000   13.000   29.000   26.000   1.000
12           M1    29.000   26.000   31.000   26.000   1.000
12           M1    30.000   8.000    26.000   8.000    1.000
12           M1    26.000   8.000    26.000   13.000   1.000
12           M1    20.000   24.000   19.000   24.000   1.000
12           M1    19.000   24.000   19.000   13.000   1.000
12           M1    4.000    3.000    4.000    13.000   1.000
12           M1    128.000  29.000   128.000  40.000   1.000
8            M1    165.000  6.000    165.000  12.000   1.000
8            M1    165.000  12.000   38.000   12.000   1.000
8            M1    38.000   12.000   38.000   8.000    1.000
8            M1    38.000   8.000    37.000   8.000    1.000
9            M1    122.000  9.000    92.000   9.000    1.000
9            M1    92.000   9.000    92.000   1.000    1.000
9            M1    92.000   1.000    19.000   1.000    1.000
9            M1    19.000   1.000    19.000   3.000    1.000
