# module       x           y           angle  orient

XC5            34.810      2.500       0      R0
XC6            14.050      2.500       0      MY
XR9            29.930      25.960      0      MY
XR10           46.855      25.960      0      MY
XR13           63.780      25.960      0      R0
XR14           80.705      25.960      0      R0
MP23           55.570      2.500       0      R0
MP24           3.500       2.500       0      MY
XR26           33.640      42.670      0      MY
XR27           63.780      42.670      0      R0
XR30           3.500       42.670      0      MY
XR32           93.920      42.670      0      R0
MM33           34.810      18.870      0      R0
MM34           24.260      18.870      0      MY
