# net         layer  x1       y1       x2       y2       width

12           M1    77.000   53.000   77.000   10.000   1.000
12           M1    77.000   10.000   4.000    10.000   1.000
12           M1    51.000   9.000    51.000   10.000   1.000
12           M1    4.000    3.000    4.000    10.000   1.000
12           M1    15.000   3.000    15.000   10.000   1.000
8            M1    114.000  19.000   114.000  1.000    1.000
8            M1    114.000  1.000    51.000   1.000    1.000
8            M1    51.000   1.000    51.000   3.000    1.000
9            M1    71.000   23.000   41.000   23.000   1.000
9            M1    41.000   23.000   41.000   12.000   1.000
9            M1    41.000   12.000   2.000    12.000   1.000
9            M1    2.000    12.000   2.000    1.000    1.000
9            M1    2.000    1.000    30.000   1.000    1.000
9            M1    30.000   1.000    30.000   3.000    1.000
