# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            31.930      27.960      0      MY
XR10           48.855      27.960      0      MY
XR13           65.780      27.960      0      R0
XR14           82.705      27.960      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           35.640      44.670      0      MY
XR27           65.780      44.670      0      R0
XR30           5.500       44.670      0      MY
XR32           95.920      44.670      0      R0
MM33           36.810      18.870      0      R0
MM34           26.260      18.870      0      MY
