# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            21.650      25.660      0      MY
XR10           38.575      25.660      0      MY
XR13           55.500      25.660      0      R0
XR14           72.425      25.660      0      R0
MP23           36.810      18.870      0      R0
MP24           26.260      18.870      0      MY
XR26           25.360      42.370      0      MY
XR27           55.500      42.370      0      R0
XR30           5.500       42.370      90     MXR90
XR32           85.640      42.370      90     R90
MM33           57.570      2.500       0      R0
MM34           5.500       2.500       0      MY
