# net         layer  x1       y1       x2       y2       width

12           M1    96.000   52.000   96.000   10.000   1.000
12           M1    96.000   10.000   42.000   10.000   1.000
12           M1    6.000    11.000   42.000   11.000   1.000
12           M1    42.000   11.000   42.000   9.000    1.000
12           M1    95.000   52.000   96.000   52.000   1.000
12           M1    27.000   19.000   27.000   11.000   1.000
12           M1    6.000    3.000    6.000    11.000   1.000
LOI+         M2    27.000   19.000   4.000    19.000   0.050
LOI+         M1    4.000    42.000   4.000    3.000    0.050
LOI+         M2    6.000    3.000    4.000    3.000    0.050
LOI+         M1    66.000   53.000   25.000   53.000   0.050
LOI+         M1    4.000    42.000   25.000   42.000   0.050
LOI+         M1    25.000   42.000   25.000   53.000   0.050
LOI+         M1    66.000   52.000   66.000   53.000   0.050
LOI+         M2    66.000   42.000   66.000   53.000   0.050
VDD          M1    26.000   26.000   26.000   12.000   0.050
VDD          M1    63.000   32.000   35.000   32.000   0.050
VDD          M1    38.000   32.000   38.000   26.000   0.050
VDD          M1    51.000   52.000   51.000   19.000   0.050
VDD          M1    26.000   26.000   38.000   26.000   0.050
VDD          M1    63.000   26.000   76.000   26.000   0.050
VDD          M1    63.000   26.000   63.000   32.000   0.050
VDD          M2    59.000   26.000   59.000   32.000   0.050
VDD          M1    35.000   42.000   35.000   32.000   0.050
VDD          M2    6.000    52.000   51.000   52.000   0.050
VDD          M1    37.000   19.000   51.000   19.000   0.050
8            M1    76.000   32.000   64.000   32.000   1.000
8            M2    64.000   32.000   64.000   3.000    1.000
8            M2    64.000   3.000    42.000   3.000    1.000
