# module       x           y           angle  orient

XC5            42.970      2.500       90     R90
XC6            26.600      2.500       90     MXR90
XR9            96.640      2.500       0      MY
XR10           113.565     2.500       0      MY
XR13           130.490     2.500       0      R0
XR14           147.415     2.500       0      R0
MP23           59.340      2.500       0      R0
MP24           16.050      2.500       0      MY
XR26           100.350     19.210      0      MY
XR27           130.490     19.210      0      R0
XR30           80.490      19.210      90     MXR90
XR32           160.630     19.210      90     R90
MM33           69.890      2.500       0      R0
MM34           5.500       2.500       0      MY
