# net         layer  x1       y1       x2       y2       width

8            M1    151.000  9.000    50.000   9.000    1.000
8            M1    50.000   9.000    50.000   8.000    1.000
8            M1    50.000   8.000    49.000   8.000    1.000
9            M2    134.000  9.000    27.000   9.000    1.000
9            M2    27.000   9.000    27.000   8.000    1.000
LOI+         M2    141.000  29.000   141.000  10.000   0.050
LOI+         M1    141.000  10.000   120.000  10.000   0.050
LOI+         M1    16.000   3.000    5.000    3.000    0.050
LOI+         M1    5.000    3.000    5.000    10.000   0.050
LOI+         M2    5.000    10.000   120.000  10.000   0.050
GND          M2    6.000    3.000    70.000   3.000    0.050
