# net         layer  x1       y1       x2       y2       width

16           M1    58.000   3.000    59.000   3.000    1.000
16           M1    39.000   18.000   39.000   19.000   1.000
16           M1    59.000   3.000    59.000   19.000   1.000
16           M1    59.000   19.000   37.000   19.000   1.000
16           M1    34.000   28.000   34.000   18.000   1.000
16           M1    21.000   18.000   39.000   18.000   1.000
16           M1    21.000   9.000    21.000   18.000   1.000
LOI-         M1    51.000   28.000   37.000   28.000   0.050
LOI-         M1    37.000   28.000   37.000   21.000   0.050
LOI-         M2    58.000   3.000    58.000   21.000   0.050
LOI-         M1    58.000   21.000   37.000   21.000   0.050
LOI-         M2    37.000   19.000   37.000   21.000   0.050
LOI-         M1    116.000  54.000   116.000  27.000   0.050
LOI-         M1    116.000  27.000   55.000   27.000   0.050
LOI-         M1    55.000   21.000   55.000   27.000   0.050
LOI-         M1    105.000  54.000   116.000  54.000   0.050
8            M1    85.000   34.000   42.000   34.000   1.000
8            M2    42.000   34.000   42.000   3.000    1.000
9            M2    68.000   34.000   68.000   2.000    1.000
9            M2    68.000   2.000    21.000   2.000    1.000
9            M1    21.000   2.000    21.000   3.000    1.000
