# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            30.980      27.660      0      MY
XR10           47.905      27.660      0      MY
XR13           64.830      27.660      0      R0
XR14           81.755      27.660      0      R0
MP23           36.810      18.870      0      R0
MP24           26.260      18.870      0      MY
XR26           34.690      44.370      0      MY
XR27           64.830      44.370      0      R0
XR30           4.550       44.370      0      MY
XR32           94.970      44.370      0      R0
MM33           57.570      2.500       0      R0
MM34           5.500       2.500       0      MY
