# net         layer  x1       y1       x2       y2       width

16           M1    58.000   20.000   4.000    20.000   1.000
16           M1    4.000    20.000   4.000    3.000    1.000
16           M1    37.000   19.000   39.000   19.000   1.000
16           M1    39.000   19.000   39.000   20.000   1.000
16           M1    34.000   28.000   34.000   20.000   1.000
16           M1    21.000   9.000    21.000   20.000   1.000
16           M1    58.000   3.000    58.000   20.000   1.000
LOI-         M1    51.000   19.000   51.000   3.000    0.050
LOI-         M1    51.000   28.000   51.000   22.000   0.050
LOI-         M2    51.000   22.000   51.000   19.000   0.050
LOI-         M2    37.000   19.000   44.000   19.000   0.050
LOI-         M1    44.000   19.000   55.000   19.000   0.050
LOI-         M2    58.000   3.000    51.000   3.000    0.050
LOI-         M1    115.000  44.000   57.000   44.000   0.050
LOI-         M1    57.000   44.000   57.000   31.000   0.050
LOI-         M2    55.000   19.000   55.000   31.000   0.050
LOI-         M1    55.000   31.000   57.000   31.000   0.050
LOI-         M1    105.000  54.000   115.000  54.000   0.050
LOI-         M1    115.000  54.000   115.000  44.000   0.050
8            M1    85.000   34.000   60.000   34.000   1.000
8            M1    60.000   34.000   60.000   1.000    1.000
8            M1    60.000   1.000    42.000   1.000    1.000
8            M1    42.000   1.000    42.000   3.000    1.000
9            M2    68.000   34.000   21.000   34.000   1.000
9            M2    21.000   34.000   21.000   3.000    1.000
