# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            3.500       20.930      0      MY
XR10           20.425      20.930      90     MXR90
XR13           37.135      20.930      90     R90
XR14           53.845      20.930      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           6.995       37.855      0      MY
XR27           37.135      37.855      0      R0
XR30           17.275      57.715      90     MXR90
XR32           37.135      57.715      90     R90
MM33           57.570      13.290      0      R0
MM34           5.500       13.290      0      MY
