# net         layer  x1       y1       x2       y2       width

VDD          M1    84.000   42.000   63.000   42.000   0.050
VDD          M1    63.000   42.000   63.000   24.000   0.050
VDD          M2    84.000   32.000   84.000   42.000   0.050
VDD          M1    16.000   60.000   50.000   60.000   0.050
VDD          M1    50.000   60.000   50.000   39.000   0.050
VDD          M1    50.000   39.000   63.000   39.000   0.050
VDD          M1    144.000  49.000   61.000   49.000   0.050
VDD          M1    84.000   49.000   84.000   42.000   0.050
VDD          M1    30.000   49.000   30.000   24.000   0.050
VDD          M1    63.000   24.000   27.000   24.000   0.050
VDD          M1    49.000   3.000    49.000   24.000   0.050
VDD          M1    6.000    3.000    16.000   3.000    0.050
VDD          M1    16.000   3.000    16.000   60.000   0.050
GND          M2    22.000   24.000   33.000   24.000   0.050
8            M1    144.000  55.000   132.000  55.000   1.000
8            M2    132.000  55.000   43.000   55.000   1.000
8            M2    43.000   55.000   43.000   8.000    1.000
8            M1    43.000   8.000    39.000   8.000    1.000
12           M2    121.000  15.000   121.000  53.000   1.000
12           M1    17.000   15.000   45.000   15.000   1.000
12           M1    32.000   8.000    23.000   8.000    1.000
12           M1    23.000   8.000    23.000   15.000   1.000
12           M2    121.000  15.000   45.000   15.000   1.000
12           M2    6.000    3.000    17.000   3.000    1.000
12           M2    17.000   3.000    17.000   15.000   1.000
12           M1    22.000   24.000   19.000   24.000   1.000
12           M1    19.000   24.000   19.000   15.000   1.000
9            M1    48.000   39.000   34.000   39.000   1.000
9            M1    84.000   39.000   65.000   39.000   1.000
9            M2    34.000   39.000   15.000   39.000   1.000
9            M2    65.000   39.000   48.000   39.000   1.000
9            M2    15.000   39.000   15.000   8.000    1.000
9            M2    15.000   8.000    16.000   8.000    1.000
