# module       x           y           angle  orient

XC5            32.420      2.500       90     R90
XC6            16.050      2.500       90     MXR90
XR9            58.340      19.210      0      MY
XR10           118.620     2.500       0      MY
XR13           135.545     2.500       0      R0
XR14           195.825     19.210      0      R0
MP23           48.790      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           105.405     19.210      0      MY
XR27           135.545     19.210      0      R0
XR30           75.265      19.210      0      MY
XR32           165.685     19.210      0      R0
MM33           32.420      23.260      0      R0
MM34           21.870      23.260      0      MY
