# net         layer  x1       y1       x2       y2       width

VDD          M1    6.000    3.000    5.000    3.000    0.050
VDD          M1    73.000   3.000    58.000   3.000    0.050
VDD          M1    148.000  3.000    135.000  3.000    0.050
VDD          M1    135.000  10.000   25.000   10.000   0.050
VDD          M1    25.000   10.000   25.000   19.000   0.050
VDD          M1    73.000   16.000   25.000   16.000   0.050
VDD          M1    5.000    3.000    5.000    19.000   0.050
VDD          M1    5.000    19.000   25.000   19.000   0.050
VDD          M1    73.000   19.000   78.000   19.000   0.050
VDD          M1    73.000   19.000   73.000   3.000    0.050
VDD          M1    135.000  3.000    135.000  10.000   0.050
VDD          M2    131.000  3.000    131.000  10.000   0.050
VDD          M1    108.000  19.000   108.000  10.000   0.050
GND          M1    27.000   19.000   37.000   19.000   0.050
12           M1    168.000  29.000   65.000   29.000   1.000
12           M2    65.000   29.000   65.000   11.000   1.000
12           M1    65.000   11.000   26.000   11.000   1.000
12           M2    42.000   9.000    42.000   11.000   1.000
12           M2    6.000    3.000    26.000   3.000    1.000
12           M2    26.000   3.000    26.000   11.000   1.000
12           M2    27.000   19.000   27.000   13.000   1.000
12           M1    27.000   13.000   27.000   11.000   1.000
12           M2    168.000  19.000   168.000  29.000   1.000
16           M2    37.000   19.000   40.000   19.000   1.000
16           M1    40.000   19.000   58.000   19.000   1.000
16           M2    58.000   3.000    58.000   19.000   1.000
16           M2    97.000   3.000    37.000   3.000    1.000
16           M2    37.000   3.000    37.000   19.000   1.000
16           M1    22.000   9.000    22.000   12.000   1.000
16           M2    22.000   12.000   37.000   12.000   1.000
8            M1    148.000  9.000    136.000  9.000    1.000
8            M2    136.000  9.000    136.000  1.000    1.000
8            M1    136.000  1.000    42.000   1.000    1.000
8            M1    42.000   1.000    42.000   3.000    1.000
9            M1    131.000  9.000    98.000   9.000    1.000
9            M2    98.000   9.000    98.000   1.000    1.000
9            M2    98.000   1.000    22.000   1.000    1.000
9            M1    22.000   1.000    22.000   3.000    1.000
