# net         layer  x1       y1       x2       y2       width

VDD          M2    6.000    3.000    5.000    3.000    0.050
VDD          M1    84.000   27.000   24.000   27.000   0.050
VDD          M1    24.000   44.000   24.000   19.000   0.050
VDD          M1    58.000   44.000   14.000   44.000   0.050
VDD          M1    5.000    3.000    5.000    19.000   0.050
VDD          M1    5.000    19.000   24.000   19.000   0.050
VDD          M1    58.000   3.000    58.000   44.000   0.050
VDD          M1    44.000   44.000   44.000   27.000   0.050
GND          M1    26.000   19.000   37.000   19.000   0.050
16           M2    47.000   3.000    59.000   3.000    1.000
16           M1    38.000   18.000   38.000   19.000   1.000
16           M1    38.000   19.000   47.000   19.000   1.000
16           M2    47.000   3.000    47.000   19.000   1.000
16           M2    33.000   27.000   33.000   18.000   1.000
16           M1    21.000   18.000   38.000   18.000   1.000
16           M1    21.000   9.000    21.000   18.000   1.000
16           M2    37.000   19.000   37.000   18.000   1.000
LOI+         M1    6.000    3.000    16.000   3.000    0.050
LOI+         M2    16.000   3.000    16.000   35.000   0.050
LOI+         M2    27.000   19.000   16.000   19.000   0.050
LOI+         M1    63.000   54.000   63.000   38.000   0.050
LOI+         M2    63.000   38.000   50.000   38.000   0.050
LOI+         M1    50.000   38.000   50.000   35.000   0.050
LOI+         M2    16.000   35.000   50.000   35.000   0.050
LOI+         M1    74.000   54.000   63.000   54.000   0.050
LOI+         M1    74.000   44.000   63.000   44.000   0.050
8            M1    84.000   34.000   59.000   34.000   1.000
8            M2    59.000   34.000   42.000   34.000   1.000
8            M2    42.000   34.000   42.000   3.000    1.000
9            M2    67.000   34.000   67.000   1.000    1.000
9            M1    67.000   1.000    21.000   1.000    1.000
9            M1    21.000   1.000    21.000   3.000    1.000
