# net         layer  x1       y1       x2       y2       width

VDD          M2    6.000    3.000    5.000    3.000    0.050
VDD          M1    15.000   44.000   58.000   44.000   0.050
VDD          M1    58.000   3.000    58.000   44.000   0.050
VDD          M1    72.000   34.000   45.000   34.000   0.050
VDD          M1    47.000   44.000   47.000   28.000   0.050
VDD          M1    5.000    3.000    5.000    28.000   0.050
VDD          M1    5.000    28.000   47.000   28.000   0.050
VDD          M1    72.000   28.000   85.000   28.000   0.050
VDD          M1    72.000   28.000   72.000   34.000   0.050
VDD          M2    68.000   28.000   68.000   34.000   0.050
VDD          M1    45.000   44.000   45.000   34.000   0.050
GND          M2    26.000   19.000   37.000   19.000   0.050
12           M1    105.000  44.000   105.000  23.000   1.000
12           M2    105.000  23.000   48.000   23.000   1.000
12           M1    48.000   23.000   48.000   11.000   1.000
12           M1    27.000   11.000   48.000   11.000   1.000
12           M1    42.000   9.000    42.000   11.000   1.000
12           M3    6.000    3.000    6.000    11.000   1.000
12           M2    6.000    11.000   27.000   11.000   1.000
12           M1    27.000   19.000   27.000   11.000   1.000
16           M2    58.000   3.000    59.000   3.000    1.000
16           M1    39.000   15.000   39.000   19.000   1.000
16           M1    59.000   3.000    59.000   15.000   1.000
16           M2    59.000   15.000   39.000   15.000   1.000
16           M2    34.000   28.000   39.000   28.000   1.000
16           M2    39.000   28.000   39.000   9.000    1.000
16           M2    21.000   9.000    39.000   9.000    1.000
16           M1    37.000   19.000   39.000   19.000   1.000
LOI-         M1    51.000   28.000   51.000   24.000   0.050
LOI-         M1    51.000   24.000   37.000   24.000   0.050
LOI-         M1    37.000   27.000   37.000   21.000   0.050
LOI-         M3    58.000   3.000    58.000   21.000   0.050
LOI-         M2    58.000   21.000   40.000   21.000   0.050
LOI-         M1    40.000   21.000   37.000   21.000   0.050
LOI-         M3    37.000   19.000   37.000   21.000   0.050
LOI-         M1    116.000  54.000   116.000  27.000   0.050
LOI-         M2    116.000  27.000   55.000   27.000   0.050
LOI-         M1    37.000   27.000   55.000   27.000   0.050
LOI-         M1    105.000  54.000   116.000  54.000   0.050
LOI+         M1    6.000    3.000    6.000    19.000   0.050
LOI+         M1    6.000    19.000   26.000   19.000   0.050
LOI+         M3    27.000   19.000   26.000   19.000   0.050
LOI+         M1    75.000   54.000   64.000   54.000   0.050
LOI+         M1    64.000   54.000   64.000   36.000   0.050
LOI+         M1    64.000   36.000   66.000   36.000   0.050
LOI+         M2    25.000   19.000   25.000   35.000   0.050
LOI+         M2    25.000   35.000   66.000   35.000   0.050
LOI+         M1    66.000   35.000   66.000   36.000   0.050
LOI+         M2    75.000   44.000   75.000   54.000   0.050
8            M1    85.000   34.000   84.000   34.000   1.000
8            M2    84.000   34.000   84.000   28.000   1.000
8            M3    84.000   28.000   42.000   28.000   1.000
8            M3    42.000   28.000   42.000   3.000    1.000
9            M3    68.000   34.000   24.000   34.000   1.000
9            M3    24.000   34.000   24.000   3.000    1.000
9            M2    24.000   3.000    21.000   3.000    1.000
