# module       x           y           angle  orient

XC5            71.125      3.000       0      R0
XC6            40.365      3.000       0      MY
XR9            29.240      34.725      90     MXR90
XR10           59.450      34.725      0      MY
XR13           86.375      34.725      0      R0
XR14           116.800     34.725      90     R90
MP23           71.125      32.370      0      R0
MP24           50.575      32.370      0      MY
XR26           46.235      87.510      0      MY
XR27           86.375      87.510      0      R0
XR30           15.810      64.650      0      MY
XR32           116.800     64.650      0      R0
MM33           105.385     3.000       0      R0
MM34           16.315      3.000       0      MY
