# module      pin      x        y        layer

XC5          MINUS    5.380    0.055    M1
XC5          PLUS     5.380    6.315    M1
MM21         B        0.340    0.545    M1
MM21         D        0.340    0.595    M1
MM21         G        0.405    0.545    M1
MM21         S        0.455    0.595    M1
MM22         B        0.340    0.545    M1
MM22         D        0.340    0.595    M1
MM22         G        0.405    0.545    M1
MM22         S        0.455    0.595    M1
MP24         B        0.275    0.395    M1
MP24         D        0.325    0.345    M1
MP24         G        0.275    0.395    M1
MP24         S        0.225    0.345    M1
XR14         MINUS    3.462    0.055    M1
XR14         PLUS     3.462    6.655    M1
XR13         MINUS    3.462    0.055    M1
XR13         PLUS     3.462    6.655    M1
