# net         layer  x1       y1       x2       y2       width

VDD          M1    45.174   2.609    19.733   2.609    0.050
VDD          M1    19.733   2.609    19.733   8.806    0.050
VDD          M1    13.699   19.244   13.699   8.806    0.050
VDD          M1    13.699   8.806    19.733   8.806    0.050
GND          M1    42.239   19.570   42.239   19.733   0.050
GND          M1    42.239   19.733   3.099    19.733   0.050
GND          M1    3.099    19.733   3.099    19.407   0.050
GND          M1    3.099    19.407   2.772    19.407   0.050
8            M1    45.174   9.133    45.174   19.733   0.050
8            M1    45.174   19.733   49.251   19.733   0.050
8            M2    42.239   19.570   42.239   19.733   0.050
8            M2    42.239   19.733   49.251   19.733   0.050
8            M1    7.828    2.609    7.828    2.446    0.050
8            M1    7.828    2.446    49.251   2.446    0.050
8            M1    49.251   2.446    49.251   19.733   0.050
9            M1    28.213   9.133    28.213   19.407   0.050
9            M2    28.213   19.407   2.936    19.407   0.050
12           M1    7.828    8.806    7.828    19.081   0.050
12           M1    7.828    19.081   13.536   19.081   0.050
