# net         layer  x1       y1       x2       y2       width

VDD          M1    34.000   0.000    26.000   0.000    0.050
VDD          M1    26.000   0.000    26.000   -1.000   0.050
VDD          M1    26.000   -1.000   21.000   -1.000   0.050
VDD          M1    21.000   -1.000   21.000   0.000    0.050
VDD          M1    26.000   -1.000   62.000   -1.000   0.050
VDD          M1    62.000   -1.000   62.000   0.000    0.050
8            M1    34.000   7.000    12.000   7.000    0.050
8            M1    12.000   7.000    12.000   8.000    0.050
8            M1    12.000   8.000    54.000   8.000    0.050
8            M1    54.000   8.000    54.000   1.000    0.050
8            M1    12.000   8.000    12.000   -1.000   0.050
8            M1    12.000   -1.000   5.000    -1.000   0.050
8            M1    5.000    -1.000   5.000    0.000    0.050
