# net         layer  x1       y1       x2       y2       width

GND          M1    0.287    23.998   0.144    23.998   0.050
GND          M2    0.144    23.998   0.144    14.945   0.050
GND          M1    0.144    14.945   0.287    14.945   0.050
VDD          M1    38.655   0.000    22.273   0.000    0.050
VDD          M1    38.655   0.000    26.584   0.000    0.050
VDD          M2    26.584   0.000    26.584   14.657   0.050
VDD          M1    26.584   14.657   9.053    14.657   0.050
8            M1    38.655   6.610    0.718    6.610    0.050
8            M2    0.718    6.610    0.718    23.998   0.050
8            M1    0.718    23.998   0.431    23.998   0.050
8            M1    38.655   6.610    11.640   6.610    0.050
8            M2    11.640   6.610    11.640   -0.144   0.050
8            M1    11.640   -0.144   5.461    -0.144   0.050
8            M2    5.461    -0.144   5.317    -0.144   0.050
8            M1    5.317    -0.144   5.317    0.000    0.050
9            M3    22.273   6.610    22.273   14.945   0.050
9            M3    22.273   14.945   0.431    14.945   0.050
12           M2    5.317    6.323    5.317    6.466    0.050
12           M2    5.317    6.466    5.317    14.801   0.050
12           M2    5.317    14.801   8.191    14.801   0.050
12           M2    8.191    14.801   8.909    14.801   0.050
