# net         layer  x1       y1       x2       y2       width

GND          M1    3.007    8.918    2.800    8.918    0.050
GND          M1    2.800    8.918    0.415    8.918    0.050
GND          M1    0.415    8.918    0.311    8.918    0.050
VDD          M1    26.651   0.104    16.177   0.104    0.050
VDD          M1    26.651   0.104    10.889   0.104    0.050
VDD          M2    10.889   0.104    10.889   8.711    0.050
VDD          M1    10.889   8.711    5.704    8.711    0.050
8            M1    26.651   6.637    3.215    6.637    0.050
8            M2    3.215    6.637    3.215    8.918    0.050
8            M1    3.215    8.918    3.111    8.918    0.050
8            M1    26.651   6.637    11.096   6.637    0.050
8            M2    11.096   6.637    11.096   -0.104   0.050
8            M1    11.096   -0.104   5.392    -0.104   0.050
8            M1    5.392    -0.104   5.392    0.000    0.050
8            M1    5.392    0.000    5.392    0.104    0.050
9            M3    16.177   6.637    0.622    6.637    0.050
9            M3    0.622    6.637    0.622    8.918    0.050
9            M3    0.622    8.918    0.415    8.918    0.050
12           M2    5.392    6.326    5.392    6.429    0.050
12           M2    5.392    6.429    5.392    8.815    0.050
12           M2    5.392    8.815    5.496    8.815    0.050
12           M2    5.496    8.815    5.600    8.815    0.050
