# net         layer  x1       y1       x2       y2       width

GND          M1    5.703    11.560   5.472    11.560   0.050
GND          M1    5.472    11.560   1.156    11.560   0.050
GND          M1    1.156    11.560   1.002    11.560   0.050
VDD          M1    22.735   14.489   22.735   0.694    0.050
VDD          M2    22.735   0.694    19.035   0.694    0.050
VDD          M1    19.035   0.694    18.881   0.694    0.050
VDD          M1    22.735   14.489   22.735   11.175   0.050
VDD          M2    22.735   11.175   11.483   11.175   0.050
VDD          M1    11.483   11.175   11.483   11.406   0.050
VDD          M2    11.483   11.406   11.406   11.406   0.050
VDD          M1    11.406   11.406   10.327   11.406   0.050
8            M1    16.107   14.489   6.628    14.489   0.050
8            M2    6.628    14.489   6.628    11.560   0.050
8            M1    6.628    11.560   5.780    11.560   0.050
8            M3    16.107   14.489   11.637   14.489   0.050
8            M3    11.637   14.489   11.637   0.617    0.050
8            M3    11.637   0.617    6.088    0.617    0.050
8            M3    6.088    0.617    6.088    0.694    0.050
9            M2    18.881   7.321    1.233    7.321    0.050
9            M2    1.233    7.321    1.233    11.560   0.050
9            M2    1.233    11.560   1.156    11.560   0.050
9            M2    1.156    11.560   1.079    11.560   0.050
12           M1    6.088    7.013    6.088    7.090    0.050
12           M1    6.088    7.090    6.088    11.406   0.050
12           M2    6.088    11.406   10.250   11.406   0.050
12           M2    10.250   11.406   10.327   11.406   0.050
