# net         layer  x1       y1       x2       y2       width

VDD          M1    28.364   0.749    32.859   0.749    0.050
VDD          M1    32.859   0.749    32.859   5.245    0.050
VDD          M1    19.480   0.749    32.859   0.749    0.050
VDD          M1    32.859   0.749    32.859   5.245    0.050
VDD          M1    6.422    9.419    6.529    9.419    0.050
VDD          M1    6.529    9.419    32.859   9.419    0.050
VDD          M1    32.859   9.419    32.859   5.245    0.050
GND          M1    3.746    9.633    3.532    9.633    0.050
GND          M1    3.532    9.633    1.177    9.633    0.050
GND          M1    1.177    9.633    1.070    9.633    0.050
8            M1    28.364   7.385    10.168   7.385    0.050
8            M1    10.168   7.385    10.168   9.098    0.050
8            M2    3.746    9.633    3.960    9.633    0.050
8            M2    3.960    9.633    6.208    9.633    0.050
8            M2    6.208    9.633    6.208    9.098    0.050
8            M2    6.208    9.098    10.168   9.098    0.050
8            M1    6.101    0.749    6.101    0.642    0.050
8            M1    6.101    0.642    11.560   0.642    0.050
8            M1    11.560   0.642    11.560   9.098    0.050
8            M1    11.560   9.098    10.168   9.098    0.050
9            M2    19.480   7.385    1.284    7.385    0.050
9            M2    1.284    7.385    1.284    9.633    0.050
9            M2    1.284    9.633    1.177    9.633    0.050
9            M2    1.177    9.633    1.070    9.633    0.050
12           M1    6.101    7.064    6.101    7.171    0.050
12           M1    6.101    7.171    6.101    9.526    0.050
12           M1    6.101    9.526    6.315    9.526    0.050
