# net         layer  x1       y1       x2       y2       width

VDD          M1    21.983   0.698    15.440   0.698    0.050
VDD          M1    15.440   0.698    15.440   13.085   0.050
VDD          M1    4.100    13.085   15.440   13.085   0.050
VDD          M1    15.440   26.083   15.528   26.083   0.050
VDD          M1    15.528   26.083   15.528   7.066    0.050
VDD          M1    15.528   7.066    15.440   7.066    0.050
GND          M1    7.677    26.344   1.047    26.344   0.050
8            M1    21.983   7.328    21.983   26.606   0.050
8            M1    21.983   26.606   12.998   26.606   0.050
8            M1    7.764    26.344   12.998   26.344   0.050
8            M1    12.998   22.768   12.998   26.606   0.050
8            M2    6.019    0.698    6.019    22.768   0.050
8            M1    6.019    22.768   12.998   22.768   0.050
9            M1    4.100    19.715   1.047    19.715   0.050
9            M2    1.047    19.715   1.047    26.344   0.050
12           M1    6.019    6.979    6.019    11.951   0.050
12           M1    6.019    11.951   15.353   11.951   0.050
12           M2    15.353   11.951   15.353   26.170   0.050
