# net         layer  x1       y1       x2       y2       width

GND            M1     2.170    3.150    93.145   3.150    1.560
GND            M1     2.170    25.008   45.290   25.008   0.515
GND            M1     2.170    26.475   24.120   26.475   1.000
GND            M1     2.170    28.280   24.120   28.280   1.000
GND            M1     2.170    29.980   24.120   29.980   1.000
GND            M1     2.170    31.715   24.120   31.715   1.000
GND            M1     2.673    24.750   2.673    32.215   1.005
GND            M1     3.015    2.370    3.015    24.760   1.690
GND            M1     3.810    3.880    3.810    24.800   0.500
GND            M1     3.810    14.340   45.290   14.340   0.500
GND            M1     5.278    24.750   5.278    32.215   1.005
GND            M1     7.398    24.750   7.398    32.215   1.005
GND            M1     9.732    24.750   9.732    32.215   1.005
GND            M1     11.968   24.750   11.968   32.215   1.005
GND            M1     14.130   3.880    45.290   3.880    0.500
GND            M1     14.130   24.800   45.290   24.800   0.500
GND            M1     14.278   24.750   14.278   32.215   1.005
GND            M1     16.768   24.750   16.768   32.215   1.005
GND            M1     19.222   24.750   19.222   32.215   1.005
GND            M1     21.792   24.750   21.792   32.215   1.005
GND            M1     24.120   32.098   78.970   32.098   0.235
GND            M1     24.135   32.690   85.235   32.690   0.500
GND            M1     24.382   25.265   24.382   31.980   0.525
GND            M1     24.385   32.835   24.385   40.650   0.500
GND            M1     24.450   32.440   24.450   39.830   0.370
GND            M1     24.535   40.400   84.835   40.400   0.500
GND            M1     24.550   3.880    24.550   24.800   0.500
GND            M1     24.585   32.890   24.585   40.200   0.500
GND            M1     24.585   40.200   39.635   40.200   0.500
GND            M1     24.645   25.982   33.880   25.982   0.475
GND            M1     24.645   27.057   33.880   27.057   0.465
GND            M1     24.645   29.760   33.440   29.760   0.860
GND            M1     24.645   31.118   30.420   31.118   0.545
GND            M1     24.665   40.335   84.835   40.335   0.370
GND            M1     24.695   27.325   28.015   27.325   0.500
GND            M1     24.695   29.280   24.695   27.325   0.500
GND            M1     25.235   28.230   25.235   29.280   0.500
GND            M1     25.310   27.725   27.400   27.725   0.100
GND            M1     25.310   30.190   25.310   31.980   0.360
GND            M1     26.050   30.190   26.050   31.980   0.360
GND            M1     26.355   28.440   26.355   27.725   0.500
GND            M1     26.573   25.265   26.573   26.825   1.475
GND            M1     26.795   30.190   26.795   31.980   0.360
GND            M1     27.475   28.220   27.475   29.280   0.500
GND            M1     27.535   30.190   27.535   31.980   0.360
GND            M1     28.015   27.325   28.015   29.280   0.500
GND            M1     24.695   29.280   33.720   29.280   0.500
GND            M1     28.065   28.300   30.350   28.300   2.060
GND            M1     28.330   30.190   28.330   31.980   0.360
GND            M1     29.013   25.265   29.013   26.825   1.475
GND            M1     29.110   30.190   29.110   31.980   0.360
GND            M1     29.860   30.190   29.860   31.980   0.360
GND            M1     30.400   27.325   33.720   27.325   0.500
GND            M1     30.400   29.280   30.400   27.325   0.500
GND            M1     30.600   30.190   30.600   31.980   0.360
GND            M1     30.830   30.240   30.830   31.930   0.500
GND            M1     30.830   30.240   33.390   30.240   0.500
GND            M1     30.940   28.270   30.940   29.280   0.500
GND            M1     31.015   27.725   33.105   27.725   0.100
GND            M1     31.555   39.170   32.665   39.170   0.320
GND            M1     31.752   25.265   31.752   26.825   1.475
GND            M1     32.110   30.240   32.110   31.930   0.500
GND            M1     30.830   31.930   33.390   31.930   0.500
GND            M1     24.585   32.890   47.160   32.890   0.500
GND            M1     32.110   32.890   32.110   40.200   0.500
GND            M1     33.180   28.260   33.180   29.280   0.500
GND            M1     33.390   31.035   33.390   31.930   0.500
GND            M1     33.660   27.325   33.660   31.980   0.440
GND            M1     33.825   27.275   33.825   29.330   0.110
GND            M1     33.880   24.880   45.340   24.880   0.060
GND            M1     33.930   24.960   33.930   31.930   0.500
GND            M1     33.930   31.930   45.290   31.930   0.500
GND            M1     39.635   32.890   39.635   40.200   0.500
GND            M1     39.635   40.200   54.685   40.200   0.500
GND            M1     45.290   3.880    45.290   24.800   0.500
GND            M1     45.290   31.930   45.290   24.960   0.500
GND            M1     45.340   5.315    50.100   5.315    1.000
GND            M1     45.340   7.240    50.100   7.240    1.000
GND            M1     45.340   8.965    50.100   8.965    1.000
GND            M1     45.340   10.775   50.100   10.775   1.000
GND            M1     45.340   12.535   50.100   12.535   1.000
GND            M1     45.340   14.245   50.100   14.245   1.000
GND            M1     45.340   16.045   50.100   16.045   1.000
GND            M1     45.340   17.750   50.100   17.750   1.000
GND            M1     45.340   19.420   50.100   19.420   1.000
GND            M1     45.340   21.110   50.100   21.110   1.000
GND            M1     45.340   26.738   48.980   26.738   1.075
GND            M1     45.395   27.275   45.395   29.330   0.110
GND            M1     45.500   27.325   48.820   27.325   0.500
GND            M1     45.500   3.930    45.500   31.980   0.500
GND            M1     45.570   32.890   45.810   32.890   0.240
GND            M1     45.775   24.688   49.670   24.688   0.445
GND            M1     45.785   29.760   48.980   29.760   0.860
GND            M1     45.830   30.240   48.390   30.240   0.500
GND            M1     45.830   31.035   45.830   31.930   0.500
GND            M1     45.930   24.910   45.930   26.200   1.180
GND            M1     46.040   28.230   46.040   29.280   0.500
GND            M1     46.140   30.240   46.140   29.280   0.500
GND            M1     46.570   24.960   48.870   24.960   0.500
GND            M1     46.570   3.925    46.570   26.150   0.500
GND            M1     46.605   39.170   47.715   39.170   0.320
GND            M1     46.890   25.615   47.080   25.615   0.110
GND            M1     46.895   25.558   47.055   25.558   0.005
GND            M1     47.030   25.395   47.260   25.395   0.100
GND            M1     47.110   30.240   47.110   31.930   0.500
GND            M1     47.110   31.930   48.390   31.930   0.500
GND            M1     47.160   32.890   62.210   32.890   0.500
GND            M1     47.160   25.600   47.160   40.200   0.500
GND            M1     47.683   3.925    47.683   21.610   0.505
GND            M1     47.720   24.960   47.720   26.150   0.500
GND            M1     46.570   26.150   48.870   26.150   0.500
GND            M1     48.180   25.395   48.410   25.395   0.100
GND            M1     48.230   25.600   48.230   26.150   0.500
GND            M1     48.280   28.215   48.280   29.280   0.500
GND            M1     48.360   25.615   48.550   25.615   0.110
GND            M1     48.385   25.558   48.550   25.558   0.005
GND            M1     48.390   31.035   48.390   31.930   0.500
GND            M1     48.710   3.925    48.710   31.980   0.540
GND            M1     48.820   24.960   48.820   29.280   0.500
GND            M1     48.820   29.280   45.500   29.280   0.500
GND            M1     48.925   24.910   48.925   29.330   0.110
GND            M1     49.030   24.960   49.030   31.930   0.500
GND            M1     49.030   31.930   60.390   31.930   0.500
GND            M1     49.882   3.930    49.882   24.910   0.435
GND            M1     50.100   24.880   60.440   24.880   0.060
GND            M1     50.150   3.880    50.150   24.800   0.500
GND            M1     50.150   14.340   91.630   14.340   0.500
GND            M1     54.685   32.890   54.685   40.200   0.500
GND            M1     54.685   40.200   69.735   40.200   0.500
GND            M1     49.030   25.008   93.145   25.008   0.515
GND            M1     60.390   31.930   60.390   24.960   0.500
GND            M1     60.440   27.175   64.360   27.175   0.400
GND            M1     60.470   3.880    70.890   3.880    0.500
GND            M1     60.470   24.800   70.890   24.800   0.500
GND            M1     60.470   27.275   60.470   29.330   0.060
GND            M1     60.550   27.325   63.870   27.325   0.500
GND            M1     60.550   24.870   60.550   29.280   0.500
GND            M1     60.660   29.330   60.660   31.980   0.440
GND            M1     60.855   26.475   93.145   26.475   1.000
GND            M1     60.880   29.760   64.015   29.760   1.060
GND            M1     60.930   30.240   63.490   30.240   0.500
GND            M1     60.930   31.035   60.930   31.930   0.500
GND            M1     61.090   28.230   61.090   30.240   0.500
GND            M1     61.655   39.170   62.765   39.170   0.320
GND            M1     61.885   25.620   63.060   25.620   0.710
GND            M1     62.210   30.240   62.210   31.930   0.500
GND            M1     62.210   31.930   63.490   31.930   0.500
GND            M1     62.210   32.890   77.260   32.890   0.500
GND            M1     62.210   32.890   62.210   40.200   0.500
GND            M1     63.330   28.210   63.330   29.280   0.500
GND            M1     63.490   31.035   63.490   31.930   0.500
GND            M1     63.730   30.290   63.730   31.980   0.380
GND            M1     63.870   27.325   63.870   29.280   0.500
GND            M1     63.870   29.280   60.550   29.280   0.500
GND            M1     64.140   25.265   64.140   32.215   0.440
GND            M1     64.360   28.280   75.110   28.280   1.000
GND            M1     64.360   29.980   75.110   29.980   1.000
GND            M1     64.360   31.600   75.110   31.600   0.770
GND            M1     66.058   24.750   66.058   32.215   1.005
GND            M1     68.188   24.750   68.188   32.215   1.005
GND            M1     69.735   32.890   69.735   40.200   0.500
GND            M1     69.735   40.200   84.785   40.200   0.500
GND            M1     70.023   24.750   70.023   32.215   1.005
GND            M1     70.890   3.880    81.210   3.880    0.500
GND            M1     70.890   3.880    70.890   24.800   0.500
GND            M1     70.890   24.800   81.210   24.800   0.500
GND            M1     71.962   24.750   71.962   32.215   1.005
GND            M1     73.792   24.750   73.792   32.215   1.005
GND            M1     75.110   27.125   79.410   27.125   0.300
GND            M1     75.330   25.265   75.330   32.215   0.440
GND            M1     75.550   29.760   78.970   29.760   0.860
GND            M1     75.600   27.325   77.210   27.325   0.500
GND            M1     75.600   29.280   75.600   27.325   0.500
GND            M1     75.740   30.185   75.740   31.980   0.380
GND            M1     75.980   30.240   78.540   30.240   0.500
GND            M1     75.980   31.035   75.980   31.930   0.500
GND            M1     76.140   28.225   76.140   30.240   0.500
GND            M1     76.705   39.170   77.815   39.170   0.320
GND            M1     77.260   30.240   77.260   31.930   0.500
GND            M1     77.260   31.930   78.540   31.930   0.500
GND            M1     77.260   32.890   84.785   32.890   0.500
GND            M1     77.260   32.890   77.260   40.200   0.500
GND            M1     77.310   27.325   78.920   27.325   0.500
GND            M1     77.545   25.620   78.720   25.620   0.710
GND            M1     78.380   28.210   78.380   29.280   0.500
GND            M1     78.540   31.035   78.540   31.930   0.500
GND            M1     78.780   30.185   78.780   31.980   0.380
GND            M1     78.920   27.325   78.920   29.280   0.500
GND            M1     78.920   29.280   75.600   29.280   0.500
GND            M1     79.190   27.275   79.190   32.215   0.440
GND            M1     79.410   28.280   93.145   28.280   1.000
GND            M1     79.410   29.980   93.145   29.980   1.000
GND            M1     79.410   31.715   93.145   31.715   1.000
GND            M1     81.122   24.750   81.122   32.215   1.005
GND            M1     81.310   3.880    91.630   3.880    0.500
GND            M1     81.310   24.800   91.630   24.800   0.500
GND            M1     83.358   24.750   83.358   32.215   1.005
GND            M1     84.785   32.890   84.785   40.200   0.500
GND            M1     84.920   32.440   84.920   39.830   0.370
GND            M1     84.985   32.440   84.985   40.650   0.500
GND            M1     85.668   24.750   85.668   32.215   1.005
GND            M1     88.158   24.750   88.158   32.215   1.005
GND            M1     90.612   24.750   90.612   32.215   1.005
GND            M1     91.630   3.880    91.630   24.800   0.500
GND            M1     92.362   3.830    92.362   24.850   1.565
