# net         layer  x1       y1       x2       y2       width

GND          M1    20.682   8.694    20.550   8.694    0.050
GND          M1    20.550   8.694    1.186    8.694    0.050
GND          M1    1.186    8.694    1.054    8.694    0.050
VDD          M1    39.257   4.215    39.257   7.904    0.050
VDD          M1    39.257   7.904    10.934   7.904    0.050
VDD          M1    10.934   7.904    10.934   8.167    0.050
VDD          M1    39.257   4.215    39.257   0.659    0.050
VDD          M1    39.257   0.659    26.742   0.659    0.050
VDD          M1    26.742   0.659    26.742   1.054    0.050
VDD          M1    26.742   1.054    26.347   1.054    0.050
9            M1    10.934   14.754   1.581    14.754   0.050
9            M2    1.581    14.754   1.581    8.694    0.050
9            M2    1.581    8.694    1.186    8.694    0.050
