# net         layer  x1       y1       x2       y2       width

GND          M1    24.741   9.645    24.636   9.645    0.050
GND          M1    24.636   9.645    13.838   9.645    0.050
GND          M1    13.838   9.645    13.838   8.806    0.050
GND          M1    13.838   8.806    14.152   8.806    0.050
GND          M1    14.152   8.806    14.257   8.806    0.050
VDD          M1    31.136   4.193    31.136   10.588   0.050
VDD          M1    31.136   10.588   29.878   10.588   0.050
VDD          M1    18.136   1.048    18.136   1.153    0.050
VDD          M1    18.136   1.153    18.136   9.120    0.050
VDD          M1    18.136   9.120    29.878   9.120    0.050
VDD          M1    29.878   9.120    29.878   10.588   0.050
VDD          M1    7.338    11.741   29.878   11.741   0.050
VDD          M1    29.878   11.741   29.878   10.588   0.050
9            M1    0.734    11.741   0.734    8.806    0.050
9            M2    0.734    8.806    1.677    8.806    0.050
9            M2    1.677    8.806    6.500    8.806    0.050
9            M2    6.500    8.806    14.152   8.806    0.050
12           M2    6.080    7.024    11.532   7.024    0.050
12           M2    11.532   7.024    18.031   7.024    0.050
12           M2    18.031   7.024    18.031   1.048    0.050
12           M2    18.031   1.048    18.031   0.944    0.050
8            M2    24.846   9.645    24.846   9.330    0.050
8            M2    24.846   9.330    24.846   4.193    0.050
8            M1    24.846   4.193    24.531   4.193    0.050
8            M2    6.080    0.734    11.532   0.734    0.050
8            M2    11.532   0.734    24.531   0.734    0.050
8            M1    24.531   0.734    24.531   4.193    0.050
