# net         layer  x1       y1       x2       y2       width

VDD          M1    23.845   14.772   19.076   14.772   0.050
VDD          M1    19.076   14.772   19.076   8.142    0.050
VDD          M1    19.076   8.142    10.817   8.142    0.050
VDD          M1    23.845   14.772   33.848   14.772   0.050
VDD          M1    33.848   14.772   33.848   8.491    0.050
VDD          M1    33.582   8.442    33.848   8.442    0.050
VDD          M1    33.848   8.442    33.848   8.491    0.050
8            M1    23.845   8.142    21.751   8.142    0.050
8            M1    21.751   8.142    21.751   1.279    0.050
8            M1    21.392   1.272    21.751   1.272    0.050
8            M1    21.751   1.272    21.751   1.279    0.050
8            M1    23.845   8.142    23.845   0.465    0.050
8            M1    23.845   0.465    6.165    0.465    0.050
8            M1    6.107    0.782    6.107    0.465    0.050
8            M1    6.107    0.465    6.165    0.465    0.050
9            M1    10.817   14.772   1.512    14.772   0.050
9            M1    1.512    14.772   1.512    8.607    0.050
9            M1    1.132    8.642    1.512    8.642    0.050
9            M1    1.512    8.642    1.512    8.607    0.050
