# net         layer  x1       y1       x2       y2       width

GND          M1    2.300    8.740    2.300    7.514    0.050
GND          M1    2.300    7.514    18.554   7.514    0.050
GND          M1    18.554   7.514    18.554   2.300    0.050
GND          M1    1.141    8.716    2.300    8.716    0.050
GND          M1    2.300    8.716    2.300    8.740    0.050
GND          M1    18.606   1.141    18.606   2.300    0.050
GND          M1    18.606   2.300    18.554   2.300    0.050
VDD          M1    41.555   0.920    41.555   0.153    0.050
VDD          M1    41.555   0.153    12.267   0.153    0.050
VDD          M1    28.674   0.920    28.674   0.153    0.050
VDD          M1    28.674   0.153    12.267   0.153    0.050
VDD          M1    8.894    8.587    12.114   8.587    0.050
VDD          M2    12.114   8.587    12.114   0.153    0.050
VDD          M1    12.114   0.153    12.267   0.153    0.050
VDD          M1    7.996    8.516    8.894    8.516    0.050
VDD          M1    8.894    8.516    8.894    8.587    0.050
