# net         layer  x1       y1       x2       y2       width

GND          M1    23.000   1.000    23.000   8.000    0.050
GND          M1    23.000   8.000    4.000    8.000    0.050
GND          M1    4.000    8.000    4.000    9.000    0.050
GND          M1    25.412   1.357    23.000   1.357    0.050
GND          M1    23.000   1.357    23.000   1.000    0.050
GND          M1    1.152    8.727    4.000    8.727    0.050
GND          M1    4.000    8.727    4.000    9.000    0.050
VDD          M1    43.000   1.000    26.000   1.000    0.050
VDD          M1    26.000   1.000    26.000   2.000    0.050
VDD          M1    14.000   12.000   26.000   12.000   0.050
VDD          M1    26.000   12.000   26.000   2.000    0.050
VDD          M1    23.000   9.000    26.000   9.000    0.050
VDD          M1    26.000   9.000    26.000   2.000    0.050
VDD          M1    20.527   8.527    23.000   8.527    0.050
VDD          M1    23.000   8.527    23.000   9.000    0.050
