# net         layer  x1       y1       x2       y2       width

GND          M1    20.490   1.297    20.490   7.392    0.050
GND          M2    20.490   7.392    0.259    7.392    0.050
GND          M1    0.259    7.392    0.259    8.689    0.050
GND          M1    21.354   1.299    20.490   1.299    0.050
GND          M1    20.490   1.299    20.490   1.297    0.050
GND          M1    1.094    8.669    0.259    8.669    0.050
GND          M1    0.259    8.669    0.259    8.689    0.050
VDD          M1    37.867   4.279    37.867   7.651    0.050
VDD          M1    37.867   7.651    16.988   7.651    0.050
VDD          M1    10.893   8.170    16.988   8.170    0.050
VDD          M1    16.988   8.170    16.988   7.651    0.050
VDD          M1    21.397   8.429    21.397   7.651    0.050
VDD          M1    21.397   7.651    16.988   7.651    0.050
VDD          M1    20.684   8.469    21.397   8.469    0.050
VDD          M1    21.397   8.469    21.397   8.429    0.050
12           M1    6.095    7.781    15.821   7.781    0.050
12           M2    15.821   7.781    15.821   8.559    0.050
12           M1    15.821   8.559    19.841   8.559    0.050
12           M1    6.134    7.069    6.134    7.781    0.050
12           M1    6.134    7.781    6.095    7.781    0.050
12           M1    20.634   8.519    19.841   8.519    0.050
12           M1    19.841   8.519    19.841   8.559    0.050
9            M1    10.893   14.784   5.706    14.784   0.050
9            M2    5.706    14.784   5.706    8.689    0.050
9            M1    5.706    8.689    1.945    8.689    0.050
9            M1    1.159    8.669    1.945    8.669    0.050
9            M1    1.945    8.669    1.945    8.689    0.050
8            M1    31.253   4.279    31.253   1.297    0.050
8            M1    31.253   1.297    22.046   1.297    0.050
8            M1    22.175   1.297    22.046   1.297    0.050
8            M1    21.419   1.299    22.175   1.299    0.050
8            M1    22.175   1.299    22.175   1.297    0.050
8            M1    6.095    0.000    22.046   0.000    0.050
8            M1    22.046   0.000    22.046   1.297    0.050
8            M1    6.134    0.809    6.134    0.000    0.050
8            M1    6.134    0.000    6.095    0.000    0.050
