# net         layer  x1       y1       x2       y2       width

VDD          M1    33.000   18.000   26.000   18.000   0.050
VDD          M1    49.000   6.000    49.000   18.000   0.050
VDD          M1    49.000   18.000   26.000   18.000   0.050
VDD          M1    40.000   3.000    40.000   18.000   0.050
VDD          M1    40.000   18.000   26.000   18.000   0.050
VDD          M1    38.085   2.845    40.000   2.845    0.050
VDD          M1    40.000   2.845    40.000   3.000    0.050
GND          M1    13.000   19.000   4.000    19.000   0.050
GND          M2    4.000    19.000   4.000    17.000   0.050
GND          M1    4.000    17.000   3.000    17.000   0.050
GND          M1    14.930   18.915   13.000   18.915   0.050
GND          M1    13.000   18.915   13.000   19.000   0.050
GND          M1    3.045    18.710   3.045    17.000   0.050
GND          M1    3.045    17.000   3.000    17.000   0.050
9            M1    33.000   25.000   4.000    25.000   0.050
9            M2    4.000    25.000   4.000    21.000   0.050
9            M1    4.000    21.000   3.000    21.000   0.050
9            M1    3.045    18.775   3.045    21.000   0.050
9            M1    3.045    21.000   3.000    21.000   0.050
8            M1    17.000   19.000   56.000   19.000   0.050
8            M1    56.000   19.000   56.000   6.000    0.050
8            M1    14.995   18.915   17.000   18.915   0.050
8            M1    17.000   18.915   17.000   19.000   0.050
8            M1    8.000    1.000    56.000   1.000    0.050
8            M1    56.000   1.000    56.000   6.000    0.050
8            M1    7.880    2.555    7.880    1.000    0.050
8            M1    7.880    1.000    8.000    1.000    0.050
12           M1    8.000    11.000   34.000   11.000   0.050
12           M2    34.000   11.000   34.000   3.000    0.050
12           M1    34.000   3.000    36.000   3.000    0.050
12           M1    7.880    8.815    7.880    11.000   0.050
12           M1    7.880    11.000   8.000    11.000   0.050
12           M1    38.035   2.895    36.000   2.895    0.050
12           M1    36.000   2.895    36.000   3.000    0.050
