# net         layer  x1       y1       x2       y2       width

VDD          M1    37.652   11.232   46.354   11.232   0.050
VDD          M1    46.354   11.232   46.354   10.600   0.050
VDD          M1    36.651   11.156   37.652   11.156   0.050
VDD          M1    37.652   11.156   37.652   11.232   0.050
VDD          M1    16.295   10.916   16.295   10.600   0.050
VDD          M1    16.295   10.600   46.354   10.600   0.050
VDD          M1    46.354   4.271    46.354   10.600   0.050
GND          M1    27.369   1.424    13.131   1.424    0.050
GND          M2    13.131   1.424    13.131   10.125   0.050
GND          M1    13.131   10.125   1.424    10.125   0.050
GND          M1    28.411   1.356    27.369   1.356    0.050
GND          M1    27.369   1.356    27.369   1.424    0.050
GND          M1    1.356    11.151   1.356    10.125   0.050
GND          M1    1.356    10.125   1.424    10.125   0.050
12           M1    6.170    8.068    35.438   8.068    0.050
12           M2    35.438   8.068    35.438   11.232   0.050
12           M1    35.438   11.232   35.596   11.232   0.050
12           M1    6.191    7.126    6.191    8.068    0.050
12           M1    6.191    8.068    6.170    8.068    0.050
12           M1    36.601   11.206   35.596   11.206   0.050
12           M1    35.596   11.206   35.596   11.232   0.050
9            M1    16.295   17.402   1.424    17.402   0.050
9            M2    1.424    17.402   1.424    12.182   0.050
9            M1    1.356    11.216   1.356    12.182   0.050
9            M1    1.356    12.182   1.424    12.182   0.050
8            M1    39.867   4.271    28.477   4.271    0.050
8            M1    29.426   1.424    29.426   4.271    0.050
8            M1    29.426   4.271    28.477   4.271    0.050
8            M1    28.476   1.356    29.426   1.356    0.050
8            M1    29.426   1.356    29.426   1.424    0.050
8            M1    12.498   0.791    12.498   4.271    0.050
8            M1    12.498   4.271    28.477   4.271    0.050
8            M1    6.191    0.866    12.498   0.866    0.050
8            M1    12.498   0.866    12.498   0.791    0.050
