# net         layer  x1       y1       x2       y2       width

GND          M1    7.040    12.906   6.779    12.906   0.050
GND          M1    6.779    12.906   0.391    12.906   0.050
VDD          M1    34.678   0.000    20.207   0.000    0.050
VDD          M1    34.678   0.000    16.165   0.000    0.050
VDD          M2    16.165   0.000    16.165   12.776   0.050
VDD          M1    16.165   12.776   15.123   12.776   0.050
8            M3    34.678   6.649    7.431    6.649    0.050
8            M3    7.431    6.649    7.431    12.906   0.050
8            M3    7.431    12.906   7.170    12.906   0.050
8            M3    7.170    12.906   7.040    12.906   0.050
8            M1    34.678   6.649    10.820   6.649    0.050
8            M2    10.820   6.649    10.820   -0.130   0.050
8            M1    10.820   -0.130   5.475    -0.130   0.050
8            M2    5.475    -0.130   5.345    -0.130   0.050
8            M1    5.345    -0.130   5.345    0.000    0.050
12           M2    5.345    6.258    5.345    6.388    0.050
12           M2    5.345    6.388    5.345    12.515   0.050
12           M2    5.345    12.515   14.992   12.515   0.050
12           M2    14.992   12.515   14.992   12.776   0.050
12           M2    14.992   12.776   15.123   12.776   0.050
