# net         layer  x1       y1       x2       y2       width

VDD          M1    28.213   2.609    49.577   2.609    0.050
VDD          M1    49.577   2.609    49.577   24.626   0.050
VDD          M1    2.936    30.333   2.936    24.626   0.050
VDD          M1    2.936    24.626   49.577   24.626   0.050
GND          M1    13.536   19.407   2.772    19.407   0.050
8            M1    45.174   9.133    17.124   9.133    0.050
8            M1    17.124   2.446    17.124   19.407   0.050
8            M2    13.536   19.407   16.634   19.407   0.050
8            M1    16.634   19.407   17.124   19.407   0.050
8            M1    7.828    2.609    7.828    2.446    0.050
8            M1    7.828    2.446    17.124   2.446    0.050
9            M2    28.213   9.133    3.099    9.133    0.050
9            M2    3.099    9.133    3.099    19.407   0.050
9            M2    3.099    19.407   2.936    19.407   0.050
12           M1    7.828    8.806    7.828    11.742   0.050
12           M2    7.828    11.742   7.828    30.007   0.050
12           M2    7.828    30.007   2.936    30.007   0.050
12           M2    2.936    30.007   2.936    30.170   0.050
